"","thres","n","snr","test","power"
"504",0.05,850,14.89,"URXOP5",0.87
"505",0.05,860,14.87,"URXOP2",1
"506",0.05,860,14.87,"URXOP4",0.82
"507",0.05,860,14.87,"URXOP6",0.35
"508",0.05,860,14.87,"URXOP1",1
"509",0.05,860,14.87,"URXOP3",0.78
"510",0.05,860,14.87,"URXOP5",0.87
"511",0.05,870,14.54,"URXOP2",1
"512",0.05,870,14.54,"URXOP4",0.87
"513",0.05,870,14.54,"URXOP6",0.34
"514",0.05,870,14.54,"URXOP1",1
"515",0.05,870,14.54,"URXOP3",0.84
"516",0.05,870,14.54,"URXOP5",0.79
"517",0.05,880,14.44,"URXOP2",1
"518",0.05,880,14.44,"URXOP4",0.81
"519",0.05,880,14.44,"URXOP6",0.36
"520",0.05,880,14.44,"URXOP1",1
"521",0.05,880,14.44,"URXOP3",0.82
"522",0.05,880,14.44,"URXOP5",0.87
"523",0.05,890,14.71,"URXOP2",1
"524",0.05,890,14.71,"URXOP4",0.82
"525",0.05,890,14.71,"URXOP6",0.31
"526",0.05,890,14.71,"URXOP1",1
"527",0.05,890,14.71,"URXOP3",0.79
"528",0.05,890,14.71,"URXOP5",0.87
"529",0.05,900,14.84,"URXOP2",1
"530",0.05,900,14.84,"URXOP4",0.83
"531",0.05,900,14.84,"URXOP6",0.43
"532",0.05,900,14.84,"URXOP1",1
"533",0.05,900,14.84,"URXOP3",0.76
"534",0.05,900,14.84,"URXOP5",0.82
"535",0.05,910,14.66,"URXOP2",1
"536",0.05,910,14.66,"URXOP4",0.83
"537",0.05,910,14.66,"URXOP6",0.4
"538",0.05,910,14.66,"URXOP1",1
"539",0.05,910,14.66,"URXOP3",0.84
"540",0.05,910,14.66,"URXOP5",0.78
"541",0.05,920,14.8,"URXOP2",1
"542",0.05,920,14.8,"URXOP4",0.85
"543",0.05,920,14.8,"URXOP6",0.3
"544",0.05,920,14.8,"URXOP1",1
"545",0.05,920,14.8,"URXOP3",0.73
"546",0.05,920,14.8,"URXOP5",0.85
"547",0.05,930,14.47,"URXOP2",1
"548",0.05,930,14.47,"URXOP4",0.81
"549",0.05,930,14.47,"URXOP6",0.31
"550",0.05,930,14.47,"URXOP1",1
"551",0.05,930,14.47,"URXOP3",0.81
"552",0.05,930,14.47,"URXOP5",0.8
"553",0.05,940,14.53,"URXOP2",1
"554",0.05,940,14.53,"URXOP4",0.81
"555",0.05,940,14.53,"URXOP6",0.35
"556",0.05,940,14.53,"URXOP1",1
"557",0.05,940,14.53,"URXOP3",0.81
"558",0.05,940,14.53,"URXOP5",0.89
"559",0.05,950,14.68,"URXOP2",1
"560",0.05,950,14.68,"URXOP4",0.84
"561",0.05,950,14.68,"URXOP6",0.45
"562",0.05,950,14.68,"URXOP1",1
"563",0.05,950,14.68,"URXOP3",0.89
"564",0.05,950,14.68,"URXOP5",0.89
"565",0.05,960,15.07,"URXOP2",1
"566",0.05,960,15.07,"URXOP4",0.85
"567",0.05,960,15.07,"URXOP6",0.3
"568",0.05,960,15.07,"URXOP1",1
"569",0.05,960,15.07,"URXOP3",0.8
"570",0.05,960,15.07,"URXOP5",0.86
"571",0.05,970,15.09,"URXOP2",1
"572",0.05,970,15.09,"URXOP4",0.82
"573",0.05,970,15.09,"URXOP6",0.44
"574",0.05,970,15.09,"URXOP1",1
"575",0.05,970,15.09,"URXOP3",0.85
"576",0.05,970,15.09,"URXOP5",0.83
"577",0.05,980,14.75,"URXOP2",1
"578",0.05,980,14.75,"URXOP4",0.75
"579",0.05,980,14.75,"URXOP6",0.43
"580",0.05,980,14.75,"URXOP1",1
"581",0.05,980,14.75,"URXOP3",0.87
"582",0.05,980,14.75,"URXOP5",0.83
"583",0.05,990,14.7,"URXOP2",1
"584",0.05,990,14.7,"URXOP4",0.81
"585",0.05,990,14.7,"URXOP6",0.43
"586",0.05,990,14.7,"URXOP1",1
"587",0.05,990,14.7,"URXOP3",0.86
"588",0.05,990,14.7,"URXOP5",0.83
"589",0.05,1000,14.27,"URXOP2",1
"590",0.05,1000,14.27,"URXOP4",0.82
